release_code,publication,series_code,category,sub_category,sub_component,price_type,metric,frequency,value,date,seasonal_adjustment
P0441,Gross domestic product,AN1001P,Value added at basic prices,"Agriculture, forestry and fishing",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1002P,Value added at basic prices,Mining and quarrying,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1003P,Value added at basic prices,Manufacturing,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1004P,Value added at basic prices,"Electricity, gas and water",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1005P,Value added at basic prices,Construction,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1006P,Value added at basic prices,"Trade, catering and accommodation",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1007P,Value added at basic prices,"Transport, storage and communication",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1008P,Value added at basic prices,"Finance, real estate and business services",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1009P,Value added at basic prices,General government services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1010P,Value added at basic prices,Personal services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1011P,Value added at basic prices,Value added at basic prices (total),,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1012P,Taxes less subsidies on products,Taxes less subsidies on products,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1000P,GDP at market prices,GDP at market prices,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1015P,Value added at basic prices,Primary industries,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1016P,Value added at basic prices,Secondary industries,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1017P,Value added at basic prices,Tertiary industries,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1101P,Compensation of employees,"Agriculture, forestry and fishing",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1102P,Compensation of employees,Mining and quarrying,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1103P,Compensation of employees,Manufacturing,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1104P,Compensation of employees,"Electricity, gas and water",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1105P,Compensation of employees,Construction,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1106P,Compensation of employees,"Trade, catering and accommodation",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1107P,Compensation of employees,"Transport, storage and communication",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1108P,Compensation of employees,"Finance, real estate and business services",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1109P,Compensation of employees,General government services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1110P,Compensation of employees,Personal services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1100P,Compensation of employees,Compensation of employees (total),,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1201P,Gross operating surplus and net other taxes on production,"Agriculture, forestry and fishing",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1202P,Gross operating surplus and net other taxes on production,Mining and quarrying,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1203P,Gross operating surplus and net other taxes on production,Manufacturing,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1204P,Gross operating surplus and net other taxes on production,"Electricity, gas and water",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1205P,Gross operating surplus and net other taxes on production,Construction,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1206P,Gross operating surplus and net other taxes on production,"Trade, catering and accommodation",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1207P,Gross operating surplus and net other taxes on production,"Transport, storage and communication",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1208P,Gross operating surplus and net other taxes on production,"Finance, real estate and business services",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1209P,Gross operating surplus and net other taxes on production,General government services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1210P,Gross operating surplus and net other taxes on production,Personal services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN1200P,Gross operating surplus and net other taxes on production,Gross operating surplus (total),,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2010P,Expenditure on GDP,Final consumption expenditure,Final consumption expenditure (total),Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2011P,Expenditure on GDP,Final consumption expenditure,Final consumption expenditure by households,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2012P,Expenditure on GDP,Final consumption expenditure,Final consumption expenditure by general government,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2020P,Expenditure on GDP,Gross capital formation,Gross capital formation (total),Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2021P,Expenditure on GDP,Gross capital formation,Gross fixed capital formation,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2030P,Expenditure on GDP,Gross domestic expenditure,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2040P,Expenditure on GDP,Exports of goods and services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0444,Gross domestic product,AN2050P,Expenditure on GDP,Imports of goods and services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN2000P,Expenditure on GDP,Expenditure on GDP (total),,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3010P,Final consumption expenditure by households,Food and non-alcoholic beverages,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3020P,Final consumption expenditure by households,"Alcoholic beverages, tobacco and narcotics",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3030P,Final consumption expenditure by households,Clothing and footwear,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3040P,Final consumption expenditure by households,"Housing, water, electricity, gas and other fuels",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3050P,Final consumption expenditure by households,"Furnishings, household equipment, maintenance",,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3060P,Final consumption expenditure by households,Health,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3070P,Final consumption expenditure by households,Transport,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3080P,Final consumption expenditure by households,Communication,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3090P,Final consumption expenditure by households,Recreation and culture,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3100P,Final consumption expenditure by households,Education,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3110P,Final consumption expenditure by households,Restaurants and hotels,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3120P,Final consumption expenditure by households,Miscellaneous goods and services,,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3210P,Final consumption expenditure by households,Durable goods,Durable goods (total),Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3211P,Final consumption expenditure by households,Durable goods,"Furniture, household appliances etc.",Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3212P,Final consumption expenditure by households,Durable goods,Personal transport equipment,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3213P,Final consumption expenditure by households,Durable goods,Computers and related equipment,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3214P,Final consumption expenditure by households,Durable goods,Recreational and entertainment goods,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3215P,Final consumption expenditure by households,Durable goods,Other durable goods,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3220P,Final consumption expenditure by households,Semi-durable goods,Semi-durable goods (total),Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3221P,Final consumption expenditure by households,Semi-durable goods,Clothing and footwear,Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3222P,Final consumption expenditure by households,Semi-durable goods,"Household textiles, furnishings, glassware etc.",Current prices,Year-on-year percentage change,Annually,,1993-01-01,
P0441,Gross domestic product,AN3223P,Final consumption expenditure by households,Semi-durable goods,"Motorcar tyres, parts and accessories",Current prices,Year-on-year percentage change,Annually,,1993-01-01,
